Komentar,Bintang,Tanggal
memudahkan dan sangat membantu pada saat mau traveling... terkait prakiraan cuaca...👍👍👍,5,2022-07-11 14:22:23
Good app,5,2022-07-11 14:22:16
Tolong untuk kemampuan share berbagi ke media sosial dan aplikasi lainnya berupa gambar janga berupa teks tulis.,3,2022-07-11 14:22:04
Bermanfaat untuk informasi nya,5,2022-07-11 14:21:58
Ok,5,2022-07-11 14:20:32
Informatif dan berguna untuk mendeteksi bencana alam di indonesia,4,2022-07-11 14:20:31
👍👍👍👍👍,5,2022-07-11 14:19:55
Membantu sekali utk perkiraan cuaca di kebun,5,2022-07-11 14:19:44
Baik,5,2022-07-11 14:19:37
Good,5,2022-07-11 14:19:31
Bagus,5,2022-07-11 07:05:18
Sangat berguna,5,2022-07-11 06:52:06
Bgus,5,2022-07-10 17:14:14
iya aplakasi ini sangat membantu terimakasih . BMKG,5,2022-07-09 21:33:08
"Bagus, bisa melihat indeks uv",5,2022-07-09 15:42:01
Jaya selalu,5,2022-07-09 03:31:03
Laut indonesia,5,2022-07-09 00:06:16
", T-T",3,2022-07-08 06:14:10
Sangat membantu. Informasi sangat akurat dan realtime👍👍👍👍,5,2022-07-07 22:26:54
baguss,5,2022-07-07 21:40:39
Sangat manfaat,5,2022-07-07 07:24:54
"Meleset, gak mendekati malah",1,2022-07-06 19:24:55
Ya bagus banget.,5,2022-07-06 15:41:13
Updatenya oke,4,2022-07-05 22:13:14
Sangat membantu,5,2022-07-05 21:37:15
Ngetik nyoba dulu bintang 3,3,2022-07-05 21:06:56
informatif,5,2022-07-02 18:51:46
Gak akurat... Katanya cerah padahal lagi mendung dan hujan,1,2022-07-02 10:26:56
Aplikasi yang sangat bermanfaat untuk mengetahui keadaan cuaca di wilayah Indonesia terimah kasih,5,2022-07-01 22:19:59
Jos...,5,2022-07-01 14:32:53
banyak informasi terbaru setiap harinya,5,2022-07-01 05:56:08
Good,5,2022-07-01 00:10:10
"Apk abal abal, umalulu lagi hujan dari jam 3 pagi dia malah bilang berawan",1,2022-06-30 12:52:17
"Tolong bagian lokasinya diperbaiki, masa harus input manual bukan menyesuaikan dengan lokasi perangkat.",2,2022-06-30 09:41:27
Bagus baget,5,2022-06-30 09:35:11
Bagus sekali,5,2022-06-29 19:31:06
Baik,5,2022-06-29 18:11:48
Baik,5,2022-06-29 07:20:13
Sangat membantu kita dalam mengetahui keadaan alam Indonesia,5,2022-06-29 06:08:52
Sangat bermanfaat 👍👍👍,5,2022-06-29 04:59:07
*-Siiip-*,4,2022-06-28 23:12:51
notifikasi gempa kurang update seringnya telat,1,2022-06-28 01:02:26
Puass almduliah',5,2022-06-28 00:02:27
Cukup bermanfaat,5,2022-06-26 19:53:26
Mulai lambat pemberitahuan gempanya. Ngak semua gempa yg terjadi muncul pemberitahuan,2,2022-06-26 19:49:31
Sangat bagus,5,2022-06-26 10:54:05
Bermanfaat.,5,2022-06-25 19:05:13
Ok,5,2022-06-25 07:33:32
Mantap,5,2022-06-25 07:28:07
ternyata modal hotspot ya tapi iyasih membantu,3,2022-06-25 06:36:40
"Tolong diperbaiki lagi kinerja nya,masa gempa udah setengah jam baru update,lama kali sekarang update nya..",3,2022-06-25 02:21:52
Bagus,5,2022-06-24 07:41:59
Mantap,4,2022-06-24 02:56:34
Gak cucok blassss... Cuaca cerah ..ehhh hujan lebatt.. Hehehe,1,2022-06-23 18:31:19
"Mulai tidak bagus... sudah 2X gempa tdak terdeteksi.. di aplikasi lain sudah terdeteksi, tapi aplikasi ini tidak mendeteksi...",1,2022-06-23 11:43:27
Terimakasih atas info nya dan sangat berguna bagi saya sebagai Relawan Bencana Kota Padangpanjang Sumbar dan merangkap menjadi Ketua FPRB nya dan merangkap menkadi Ketua Potensi SAR Kota Padangpanjang Sumbar,5,2022-06-22 06:06:10
"Lokasi buat cuaca dan kualitas udara kok nggak lengkap ya? Aku nyari lokasiku, tapi tidak terdaftar. Tolong ditingkatkan.",2,2022-06-21 06:00:28
sangt membantu,5,2022-06-20 15:08:05
Keren,5,2022-06-20 01:41:07
"Mohon di tingktkan lagi.... Aplikasi ini lambat pemberitahuan gempanya... Misalkan,Gempa di menit ini eh pembritahuannya di APL muncul stngh jam lagi.... Tlong di tingktkan... KURANG CEPAT",3,2022-06-19 23:34:24
Pasang surut air laut kok nggak ada yaa....,3,2022-06-19 18:00:00
Saya lijat info utk cuaca belum akurat. Mungkin bmkg bisa menambah alat utk memambah data informasi dan untuk bagian riset utk lebih belajar metode perhutungan dari data yg dikumpulkan agar lebih mrndekati ke akuratan.,1,2022-06-19 05:45:57
baguss,5,2022-06-18 20:25:17
Aplikasi sangat bagus tanpa iklan sangat membantu perkiraan cuaca,5,2022-06-18 13:15:43
Bagus,5,2022-06-18 00:47:15
"Kurang akurat, sy bbrp kali mengalami gempa d Sulteng tp hingga 1 hari blm ada keterangan d aplikasi tsb",3,2022-06-16 19:51:58
Jadilah masyarakat yg tanggap dan tetap waspada thp iklim saat ini,5,2022-06-16 15:09:23
3 bintang dulu kalau bisa tambahkan juga live streming tv khusus berita cuaca dan gempa di semua lokasi agar dapat live streaming,3,2022-06-16 04:38:48
"Aplikasih ini sangat bagus ,kita bisa tau dmna pusat gemppa",5,2022-06-15 20:50:24
il iku loby mh yu Kim min di. k,2,2022-06-15 15:19:09
Sangat bagus sekalih,5,2022-06-15 04:20:28
Good,5,2022-06-13 18:59:52
Keren,5,2022-06-13 15:03:43
bagus buat mengetahui info tentang perakiraan bencana alam...,5,2022-06-13 12:56:43
baik,5,2022-06-13 12:10:39
Mantap!,5,2022-06-13 12:02:19
Aplikasi bagus,4,2022-06-12 23:05:01
Mantap,5,2022-06-12 18:59:55
Sangat bermampaat,5,2022-06-12 17:59:01
info nya lengkap dan jelas,5,2022-06-12 17:53:59
Alhamdulilah sangat membantu melihat posisi terjadinya bencana alam,5,2022-06-12 17:25:10
Ok banget buat pengetahuan edukasi dsb,5,2022-06-12 16:18:14
Saran : kalo di tambahi alarm sebelum gempa / real time kayak bagus karena apa karena negara kita di lalui lempeng yang setiap hari bergerak. Jadi alarm ini seperti di Jepang yang sebelum gempa sudah ada notifikasi otomatis yang memberi hitungan mundur gempa dan notifikasi gempa. Kalo inovasi ini di terapkan di Indonesia insyaallah warga Indonesia bisa selamat dan lebih antisipasi sebelum adanya gempa. BMKG FOR YOU,5,2022-06-12 11:01:13
Sangat membantu,5,2022-06-12 07:22:09
"Kurang Mantap Kurang Pas Kurang Akurat,Di Kampung Aku Kondisi Hujan Tapi Di Aplikasi BMKG Berawan,Mohon Di Kembangkan Lagi Supaya Akurat,Kalau Bisa Untuk Lokasi Di Otomatiskan.Infonya Masih Lambat Gempa Jam 16:45 Tampil Di Aplikasi BMKG jam 17:15 Aplikasi Masih Kurang Akurat Info Gempa Dan Notifikasi Juga Kadang Tidak Tampil Masih Kurang Pas Kurang Akurat,Kalau Bisa Di Kasih Tanda Alarm Atau Tanda Bunyi Kalau Pingin Terjadi Yang Buruk - Buruk Agar Semua Pada Tahu Dan Saling Memberi Tahu",5,2022-06-11 09:46:51
Ok,5,2022-06-10 22:17:30
Mantap,5,2022-06-10 20:47:40
"Aplikasinya gk enak, masa mau di scroll ke bawah susah betul malah ke geser ke kiri kanan",1,2022-06-10 17:31:52
ok,5,2022-06-10 00:20:09
Sangat membantu Semoga slalu diupdate supaya akurat 99.99%👍👍👍,5,2022-06-09 21:25:36
Sangat membantu informasinya,5,2022-06-09 15:21:07
Keren,5,2022-06-09 11:51:23
Jgan bosan info kami rakyat indonesia,5,2022-06-09 06:48:00
sangat membantu,5,2022-06-09 05:37:04
"App nya sangat Bagus,,, tapi setiap ada gempa kok selalu bikin was was ya🤔",5,2022-06-09 01:58:00
Aplikasi yg bagus ketika terjadi bencana maupun perkiraan cuaca serta bencana,5,2022-06-08 20:13:58
TELAT BANGET UPDATE MASALAH GEMPA.. BLOGGGG,1,2022-06-08 20:10:02
ok,1,2022-06-08 19:27:21
Semoga lebih mutakhir lagi dalam menyampaikan informasinya,5,2022-06-08 19:00:35
Sangat membantu untuk mengetahui cuaca dan info gempa bumi dll,5,2022-06-08 13:33:10
Keren,5,2022-06-08 13:16:13
ok,5,2022-06-08 12:56:33
Ppppet,5,2022-06-08 12:52:13
Ok,4,2022-06-08 12:46:38
Nice gagah,4,2022-06-08 12:44:08
Sangat membantu......,5,2022-06-08 05:15:55
Mantap,5,2022-06-07 22:11:40
Sangat membantu di lapangan,5,2022-06-07 21:07:29
Ssngat membantu bamgat,5,2022-06-07 20:31:48
Keren lahh,4,2022-06-07 17:31:15
Kasih bintang 3 dulu kalau oke aku tambah lagi bintangnya.,3,2022-06-07 12:05:14
Sangat di butuhkan untuk informasi alam,5,2022-06-07 10:52:43
"Ga bisa dibuka, alasannya: connection to android error",1,2022-06-07 09:05:38
"Penggunaan waktu live hujan perjam ditambahkan lagi, area pemetaan sekitar area saya & area yang dituju ditambahkan lagi",4,2022-06-06 19:28:59
Bagus,3,2022-06-06 07:51:43
Mantap,5,2022-06-06 01:27:06
"Aplikasi yang bagus, bisa memprediksi cuaca di sekitar",5,2022-06-05 20:05:27
Wah apk ini tidak akurat dan tidak saya merasa kurang puas,1,2022-06-05 12:28:28
Lumayan,1,2022-06-05 10:26:07
Ok good,5,2022-06-05 00:01:05
Perkiraan cuaca,5,2022-06-04 09:26:21
Sangat membantu. Kebetulan saya propesinya petani. Sehingga bisa jadi referensi buat nentukan waktu tanam,5,2022-06-03 20:00:47
Di menu pengaturan perlu di permuda untuk pencarian lokasi prakiraan gelombang dan arus.,3,2022-06-03 18:28:08
Bagus,5,2022-06-03 13:07:03
Terimakasih sangat membantu,5,2022-06-03 00:43:01
Sangat bagus untuk mengetahui letak y gempah,5,2022-06-03 00:34:32
Ok,5,2022-06-02 08:18:44
"kurang pas dan kurang akurat kondisi hujan malah cerah kondisi hujan petir malah berawan infonya jangan sampai telat dong harus yang akurat dan pas,untuk pemberitahuan gempa,iklim,cuaca dll harus yang pas dan akurat.pada hari juga pada tanggal mohon perkembangan infonya dengan pas dan akurat dan waktu yang sama maksudnya saat kondisi hujan pas buka aplikasi juga hujan,intinya yang pas dan akurat.",5,2022-06-02 07:28:03
"Bagus, jadi tahu info cuaca setiap hari.",5,2022-06-02 06:54:32
Sangat membantu,5,2022-06-02 06:49:00
Bagus,5,2022-06-01 23:09:29
Infonya gak lengkap,1,2022-06-01 22:08:18
Sangat berguna,5,2022-06-01 15:19:33
Bagus,5,2022-05-31 17:57:07
Sangat bermanfaat informasinya.,5,2022-05-31 12:55:17
Baik,5,2022-05-31 12:23:12
sangat bagus cuma harus dipernaharui infonya....,4,2022-05-31 08:12:43
Pefisonal,1,2022-05-30 19:19:45
"Lambat infonya, kurang up date.......",2,2022-05-30 12:38:52
Ok,5,2022-05-30 12:24:43
Sang@t membantu,5,2022-05-28 17:53:45
Ok,5,2022-05-27 20:40:11
Ok,5,2022-05-27 19:22:48
Good,5,2022-05-27 09:27:20
mantap,5,2022-05-27 06:56:10
"Cukup membantu informasi ,,lebih akurat lagi mantap👍👍",5,2022-05-27 01:06:11
Sangat bermanfaat...,4,2022-05-26 22:54:03
Ok,3,2022-05-26 21:41:03
Sangat membantu ngecek cuaca,5,2022-05-26 14:14:44
Sangat membantu,5,2022-05-26 12:42:32
Sangat baik sekali,5,2022-05-26 09:31:45
Aplikasi nya berguna,5,2022-05-26 07:01:47
Mantap,5,2022-05-26 06:30:02
Baik,5,2022-05-25 19:00:03
Mohon u t k inf o pra kira an cuacanya .,5,2022-05-25 13:07:42
Aplikasi ini membantu skliendetekdi cuaca sblum kt bepergiaan,5,2022-05-25 08:12:57
BmkG memang good bisa melihat cuaca dulu sbelum berangkat,5,2022-05-25 07:50:32
Mantap,5,2022-05-25 07:35:02
Sangat bermanfaat,5,2022-05-25 06:00:56
Bagis,5,2022-05-25 04:54:16
Aflikasi yg sangat membantu....,5,2022-05-24 18:31:20
Sangatt membantu... Suwun,5,2022-05-24 17:02:45
Paling akurat untuk regional Indonesia. Saya berharap banget ada Widget nya biar ga bulak balik buka app nya. Semoga next update ada Widgetnya terutama untuk cuaca,5,2022-05-24 13:11:35
Sangat bgus,5,2022-05-24 00:58:59
Ok,5,2022-05-23 21:17:38
Ok,5,2022-05-23 19:34:40
Jadi tau.,4,2022-05-23 13:09:48
Ok akurat,5,2022-05-22 23:52:02
Sangat membantu untuk petani.apalagi kalau ramalan sampai 1 bulan kedepan,5,2022-05-21 06:35:00
No. Comen....,4,2022-05-20 21:04:52
Di bagian perkiraan cuaca susah scroll-nya.,5,2022-05-20 10:15:10
Sangat bagus,5,2022-05-20 10:07:07
Info terbaik,5,2022-05-19 22:33:53
Home screen widget feature for 1 more star addition,4,2022-05-19 11:12:14
Infonya terpercaya dan update selalu dan sangat bermanfaat 👍👍,4,2022-05-19 09:36:52
"Sebenarnya bermanfaat Aplikasi Info Cuaca ini, tapi ngga bagus nya itu cuman LEMOT Aplikasi nya.",4,2022-05-18 16:30:43
Sangat bermanfaat,5,2022-05-18 10:28:07
Semoga bermanfaat,5,2022-05-18 05:25:53
Bagus akurat,4,2022-05-17 21:28:34
Saya menyukainya,5,2022-05-17 17:33:25
sangat membantu dalam mendapatkan informasi terkait cuaca,5,2022-05-17 17:19:11
Sgt menolong masyakat utk memantau perkembangan iklim-cuaca dan bersiaga bila terjadi perubahan2 iklim cuaca yg mengarah ke bencana,5,2022-05-17 14:19:08
Ok,5,2022-05-17 10:01:08
Menambah informasi,4,2022-05-17 05:55:39
Rubah laporannya pakai digital ternet digital free fire digital,5,2022-05-17 05:45:45
Ok,5,2022-05-16 18:59:08
Kadang masih lalet,3,2022-05-16 18:16:16
Sangat bagus,5,2022-05-16 07:29:31
👍 bagus banget app,5,2022-05-16 00:42:16
🤝👍,5,2022-05-15 19:37:53
👍👍👍👍👍👍,4,2022-05-15 05:54:51
Ok,5,2022-05-15 05:51:06
Akurat sejauh ini,5,2022-05-14 20:22:34
"Info BMKG dapat membantu saya dalam aktivitas sehari-hari,,,, karena sifatnya memberi informasi keadaan cuaca",5,2022-05-14 19:43:33
Mungkin bisa lebih ditingkatkan lg kualitas informasi yg lebih baik lagi,5,2022-05-14 15:38:21
Sangat membantu..,5,2022-05-14 11:06:27
Harap ditambahkan fitur lokasi terkini atau pengaturan lokasi tersimpan lebih dari 1 agar saat kita bepergian lebih mudah utk cek perkiraan cuaca,4,2022-05-14 09:48:17
mohon dipermudah.,1,2022-05-14 02:26:46
Sangat baik untuk melihat keadaan cuaca di Indonesia,5,2022-05-13 12:43:23
App lucu coba download posisi hujan angin malah di app berawan hahah,3,2022-05-12 23:57:01
Bagus ssssss,5,2022-05-12 22:29:12
"Sudah lebih baik, good job",5,2022-05-12 10:05:35
Saat mau liat BMKG luar negeri bisa toh editing aplikasi Nya sisa edit ulang aplikasi seperti program tampilan layar aplikasi negara lainnya BMKG klik saja negara dan pait edit ulang aplikasi Nya file negara lainnya juga mau tau saya soal bencana alam di luar negeri,5,2022-05-12 09:49:08
Top,5,2022-05-12 08:56:57
"Sangat bermanfaat bagi kaum kecil(petani dan nelayan, juga buruh lepas)",5,2022-05-12 08:48:12
"Sangat bermanfaat untuk mengetahui suhu, cuaca, gempa dan perubahsn iklim..",5,2022-05-12 06:39:40
Pemberitahuan cuaca sangat akurat aplikasi ini sangat membantu sebelum melakukan aktivitas sehari-hari,5,2022-05-12 06:38:52
"Di menu pengaturan tolong pengaturan untuk pilihan lokasi dipermudah. Susah mau cari lokasi yg kita cari, terlalu banyak, tdk ada shortcut untuk pencarian 🔍",4,2022-05-12 06:35:02
Bgus bget,5,2022-05-12 00:32:11
Prediksi cuaca nya gak akurat 😓,3,2022-05-12 00:32:02
Terimakasih telah bagikan informasi serta peringatan dini pd kami . Teruslah bekerja sukses berjaya. Amiin.,5,2022-05-11 23:13:25
Mantap bisa dipahami,5,2022-05-11 15:13:03
Sangat membantu,5,2022-05-11 10:07:50
Sangat membantu,5,2022-05-11 08:39:26
Good,5,2022-05-11 07:48:42
App bagus dan akurat.,5,2022-05-10 22:56:03
Siip,5,2022-05-10 18:59:05
Ok,5,2022-05-10 12:16:47
Bagus dan sangat recomended banget,5,2022-05-10 10:31:20
Sangat bermanfaat,5,2022-05-10 07:07:55
bagus,4,2022-05-09 23:31:56
"Untuk informasi cuaca keakuratannya masih kurang, tolong ditingkatkan lagi.",5,2022-05-09 16:31:03
Ber mamfaat,5,2022-05-09 12:54:19
Sangat bermanfaat.,5,2022-05-09 11:43:25
BMKG SANGAT MEMBANTU.........,5,2022-05-09 00:37:08
Sangat membantu,3,2022-05-08 20:42:54
"Sangat membantu perjalanan, mulai dari cuaca sampai tinggi gelombang dapat dipantau",5,2022-05-08 18:37:00
Aplikasinya bagus...,5,2022-05-08 10:52:03
Aplikasi Ini membantu kerja di lapangan,5,2022-05-08 09:50:58
Bersama BMKG Menyelamatkan Kita Semua,5,2022-05-07 22:13:44
Best,5,2022-05-07 21:51:28
👍👍,5,2022-05-07 21:30:02
"Aplikasi ini sangat membatu, terutama bagi kita yang ingin melakukan perjalanan sehingga tau kemungkinan hujan atau tidak, bagi petanipun sangat membatu karna apa harus dilakukan bisa dipredisi. Semoga aplikasi ini terus berkembang. Maju teruus... BMKG.",5,2022-05-07 06:45:11
Ok,4,2022-05-06 22:52:10
Membantu kondisi terupdate. .. cuaca musim uk mendukung pertanian,5,2022-05-06 21:57:00
jozzz akirat,5,2022-05-06 21:24:24
Bagus,5,2022-05-06 17:38:03
Ok,5,2022-05-05 21:48:49
Puas,5,2022-05-05 19:30:10
Baik dari segi info,1,2022-05-05 19:02:01
Mantap,4,2022-05-05 18:52:52
Memuaskan.,5,2022-05-05 18:11:43
Sangat membantu kami para petani sayuran,5,2022-05-05 15:13:22
Hasil baik kombinasi dengan TV,3,2022-05-05 04:38:39
Sangat berguna,5,2022-05-04 22:27:05
Sangat membantu dan terpercaya terimakasih,3,2022-05-04 07:59:39
Nice,5,2022-05-04 04:07:51
lumayan membantu,4,2022-05-03 19:56:32
"sangat bermanfaat, tp maaf saya ad sdkt masukan, mnrt saya akan lbh baik jika ada notifikasi suara sirene panjang (by default) jika ada bencana sehingga semua orang yang memiliki aplikasi ini dapat segera melakukan antisipasi bahaya bencana sedini mungkin, Terima kasih",5,2022-05-03 17:00:27
Mantap,5,2022-05-03 11:42:42
Informatif,5,2022-05-03 08:16:16
Sangat membantu,5,2022-05-03 08:08:39
Tidak ada widget.,4,2022-05-02 09:31:26
"Aplikasi parah ! Gempa terkini tdk ada, yang ada gempa 2 hari yang lalu",1,2022-05-02 09:05:42
Sangat baik,5,2022-05-02 07:27:59
Oke,4,2022-05-02 03:13:57
Sangat penting sangat bermanfaat,5,2022-05-01 22:18:26
Mantullll👍🏾👍🏾👍🏾,4,2022-05-01 22:03:08
Ok,5,2022-05-01 19:47:30
"Informatif, EWS 👍🙏",5,2022-05-01 19:30:52
Ok,4,2022-05-01 17:59:06
Ok,5,2022-05-01 12:30:36
Good,5,2022-05-01 09:23:19
"Bmkg sangat membantu utk melihat cuaca, khususnya di indonesia",5,2022-05-01 09:04:45
Lumayan,4,2022-05-01 08:54:52
Ok,5,2022-05-01 03:58:27
Oke,5,2022-05-01 03:10:40
Ok,3,2022-05-01 03:02:27
Informasinya sangat membantu. Dan informatif. Serta edukatif.,4,2022-05-01 00:03:25
Sering mleset,3,2022-05-01 00:00:43
Bagus,5,2022-04-30 23:55:12
Mantap,5,2022-04-30 23:53:51
Aplikasinya bagus..... Terima kasih....,5,2022-04-30 23:43:08
Sangat membantu informasinya,5,2022-04-30 22:09:18
Mantap,5,2022-04-30 22:08:56
Mantappp,5,2022-04-30 22:06:49
Informasi akurat dan terpercaya,5,2022-04-30 22:03:09
"Bagus,aplikasi,BMKG,cukup,akurat,tapi,masih,kurang,lengkap,ditingkatkan,terus,agar,lebih,baik,",5,2022-04-30 21:57:35
Aplikasi yg sgt bagus👍👍,5,2022-04-30 21:53:31
"Assalamualaikum, Kecamatan Sungai Limau Kab.Padang Pariaman Kenapa Tidak Ada?",5,2022-04-30 21:53:05
Siiiiip,5,2022-04-30 21:52:49
Sangat membantu,5,2022-04-30 21:50:57
Sangat membantu dan mudah digunakan,5,2022-04-30 21:41:34
Membantu informasi lebih cepat daripada harus buka sosial media bmkg dulu,5,2022-04-30 21:40:37
"Aplikasi mantep, membantu untuk mengetahui gempa di dunia.....",5,2022-04-30 21:39:25
Ok,5,2022-04-30 21:36:02
Aplikasi nya bagus banget... Setiap informasi tentang gempa yang tidak kita rasakan di daerah tempat tinggal kita tetapi dirasakan di daerah lain semuanya akan muncul informasi nya di BMKG. The best dehh BMKG 👍👍,5,2022-04-30 21:32:20
"Aplikasi ini bagus sekali,,dpt mengetahui informasi bencana dengan cepat,sehingga kami bisa waspada dan bisa memberi tahu tetangga atau temen kita apabila terjadi bencana d wilayah kita,,,👍👍👍,,",5,2022-04-30 21:29:48
"Mantap,tolong percepat infonya",5,2022-04-30 21:28:00
Oke bagus sekali dan sangat membantu,5,2022-04-30 21:27:26
Info yg membantu masyarakat luas,5,2022-04-30 21:27:10
Ok,5,2022-04-30 21:26:34
Sangat membantu info gempa,5,2022-04-30 21:23:25
mempermudah mengetahui perkiraan cuaca,5,2022-04-30 21:23:21
Info yg bermanfaat,5,2022-04-30 21:22:57
Mantap,5,2022-04-30 20:37:52
Aplikasinya sangat membantu,5,2022-04-30 20:21:32
🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,5,2022-04-30 20:09:07
Menjadi mudah sekali mencari alamat yang dituju.,5,2022-04-30 18:17:24
GOOD,5,2022-04-30 16:11:39
Sangat bermanfaat,5,2022-04-30 14:16:11
Mantap,5,2022-04-30 12:53:50
Aplikasi ini bagus banget bisa tau ada gempa atau tidak,5,2022-04-30 12:18:28
Bagus cuman pemberitahuan gempa kdang lambat,5,2022-04-30 12:03:11
"Bagus, bermanfaat",5,2022-04-30 12:01:49
Baik,3,2022-04-30 11:15:28
Tidak bisa uptade pembaharuan,5,2022-04-30 10:03:25
Aplikasi sangat bagus untuk mengatahu informasi cuaca dan gempa di seluru indonesia 🙏🙏👍👍🆗,5,2022-04-30 07:11:07
Bermanfaat banget..jadi tau kondisi cuaca ketika akan bepergian..terima kasih BMKG,5,2022-04-30 05:49:24
App ini nggak d tambahkan suara pemberitahuan jika baru saja terjadi gempa🙏🙏,3,2022-04-30 05:23:02
Sangat membantu,5,2022-04-30 03:37:25
Sangat bermanfaat,5,2022-04-30 03:23:58
Semoga selalu update to update tentang cuaca,5,2022-04-30 02:25:02
Mantap,5,2022-04-30 02:18:31
🙏👍👍,5,2022-04-30 01:54:16
Apk ini sangat membatu good job,5,2022-04-30 01:36:41
Informasi BMKG yang sangat bermanfaat sekali.,5,2022-04-30 00:56:56
OK,5,2022-04-30 00:29:12
Ok,5,2022-04-30 00:09:11
Aplikasi nya sangat akurat apalagi tentang kondisi cuaca di suatu daerah. Mantap BMKG 👍👍,5,2022-04-29 23:19:12
Sangat bermanfaat,5,2022-04-29 23:12:46
Sangat berguna untuk siapapun,5,2022-04-29 22:17:54
Bagus,5,2022-04-29 21:47:31
Bagus informatif,5,2022-04-29 21:32:11
"Aplikasi bagus,, utk update cuaca.",5,2022-04-29 21:30:32
Apk mantap,4,2022-04-29 21:25:43
Sanggat di Perlukaan untuk masarakat,4,2022-04-29 21:25:37
Mantap.,5,2022-04-29 21:25:34
Sangat bagus dan membantu kita mengetahui info gempa di indonesia..👍👍,5,2022-04-29 21:22:23
Saya dpt pemberitahuan kalau ad update an versi 2.9 knp di play store gk ad pembaharuan apk,3,2022-04-29 21:20:55
Ok,5,2022-04-29 21:20:12
Sngat mmbantu👍,5,2022-04-29 21:19:45
Sanggat di perlukan sekali demi masyarakat sekitar .,3,2022-04-29 21:15:09
Ok,5,2022-04-29 21:14:18
"Aplikasi yang sangat bagus buat mengetahui gempa, cuaca , semoga kedepannya lebih bagus",5,2022-04-29 21:06:34
Ok..,5,2022-04-29 21:06:28
Sangat membantu mengetahui keadaan alam dan lingkungan sekitar.,5,2022-04-29 21:05:03
Informasinya akurat mantap terpercaya,5,2022-04-29 21:03:33
Top,5,2022-04-29 21:03:11
Cukup Mantap,4,2022-04-29 21:02:48
"Bagus, makin lengkap infonya.",4,2022-04-29 21:01:35
Sangat bermanfaat,4,2022-04-29 21:00:56
Mantap,5,2022-04-29 21:00:46
Ok,4,2022-04-29 21:00:12
Sangat memuaskan,5,2022-04-29 20:59:49
Saya suka sangat membantu Terima kasih,5,2022-04-29 20:59:24
Cocok,5,2022-04-29 20:59:20
Mantap,5,2022-04-29 20:58:59
Mantullllll,5,2022-04-29 20:58:48
Amat membantu untuk mengetahui informasi gempa dan cuaca,5,2022-04-29 20:57:54
Okee good,5,2022-04-29 20:57:23
Sangat berguna untuk kami sbg pekerja lapangan,5,2022-04-29 20:56:57
Akurat,5,2022-04-29 20:56:46
Semoga akurat,5,2022-04-29 20:56:36
Aangat bermanfaat,5,2022-04-29 20:56:28
Mantap,5,2022-04-29 20:56:18
Sangat membantu dalam informasi gempa dan lain nya,5,2022-04-29 20:56:10
Mantap,5,2022-04-29 20:55:50
Sangat membantu,5,2022-04-29 20:55:48
Good,5,2022-04-29 20:55:42
Informatif dan ter-update selalu,5,2022-04-29 20:53:46
Sangat membantu dan kami sebagai masyarakat bisa mengetahui perubhan cuaca serta mengetahui bencana yang terjadi diseluruh daerah,5,2022-04-29 20:53:40
good job.👍🏿,5,2022-04-29 20:52:51
Jadi tau dimana terjadi gempa 👍👍👍👍👍,5,2022-04-29 20:52:33
Sangat bermanfaat seluruh informasi nya,4,2022-04-29 20:52:00
Mantap benar,5,2022-04-29 20:51:13
Monitor,5,2022-04-29 20:50:02
Lumayan.. Bisa membantu. 😁👍,4,2022-04-29 20:49:49
Selalu memberi berita yg terupdate,5,2022-04-29 20:49:41
Selalu update,5,2022-04-29 20:48:51
Ok,5,2022-04-29 20:48:07
Semoga bisa semakin responsif,5,2022-04-29 20:48:03
👍👍👍👍👍,5,2022-04-29 20:47:45
Mayan membatu..,5,2022-04-29 20:46:09
Ok,5,2022-04-29 20:45:14
Sumber informasi cepat dan terpercaya,5,2022-04-29 20:45:07
Sangat bermanfaat,5,2022-04-29 20:44:50
Keren,5,2022-04-29 20:44:42
Mantap,5,2022-04-29 20:44:28
up to date informasinya,5,2022-04-29 20:44:06
top banget,5,2022-04-29 20:44:04
Bagus,5,2022-04-29 20:43:34
Good,5,2022-04-29 20:43:20
Siiippp,5,2022-04-29 20:39:17
Sangat bermanfaat,5,2022-04-29 20:38:06
Bagus sekali,5,2022-04-29 20:37:55
BMKG saya yakin IT mereka hanya bermain zuma DI PC Bahkan portal web mereka seperti laporan tugas untuk skripsi anak anak Skom 😂😂😂😂🤦🤦🤦 Beta bobroknya badan pemerintah ini terlalu banyak oknum sampah dan tidak kompeten,1,2022-04-28 16:51:09
Ok,5,2022-04-27 20:46:59
KASI BAGUS APLIKASINYA,5,2022-04-27 20:08:11
Info situs porn HD.,5,2022-04-26 20:46:37
Bagus tapi kurang tepat ramalannya,4,2022-04-26 09:22:38
Sangat bermanfaat untuk sehari hari. Saran saya ditambah widget-widget yang lebih memudahkan user. Thx,5,2022-04-26 08:08:21
Good,5,2022-04-25 14:17:04
Informasi yg cepat & tepat,5,2022-04-25 12:00:07
Baik,5,2022-04-24 07:11:19
"di optimalkan lagi kalo bisa lambat pemberitauan nya tadi malem sabtu 23 apr 03:42 an labota,bahodopi,morowali ada terjadi gempa dan mau liat titik gempa lama,(sekali keluar info jam nya beda 02:49)di cepat kan sedik lah biar cepat tau titik gempa dimana.",4,2022-04-23 12:52:51
