Komentar,Bintang,Tanggal,clean_text,Sentimen,Aspek_Terdeteksi,Confidence_Score
Bmkg 3.5 AMBON,5,2022-11-11 11:38:37,bmkg 3 5 ambon,Positif,Akurasi,0.5312116146087646
Untuk tampilan peringatan dini cuaca..lebih bagus dan lebih jelas tampilanya yg versi lama.. Tolong untuk tampilan peringatan dini cuaca samakan dgn versi lama.. Trims🙏🙏..,3,2022-11-10 23:04:27,untuk tampilan peringatan dini cuaca lebih bagus dan lebih jelas tampilanya yg versi lama tolong untuk tampilan peringatan dini cuaca samakan dgn versi lama trims,Netral,Akurasi,0.4937380254268646
Untuk fitur peringatan dini cuaca kok tidak ada,4,2022-11-10 17:59:46,untuk fitur peringatan dini cuaca kok tidak ada,Positif,Akurasi,0.3836377263069153
Apdet Kegempaan..tdk ada pemberitahuan di HP...klo aplikasi yg lama selalu apdet...ada pemberitahuan Di HP...Katanya Masyarakat Harus Mitigasi Bencana...Mohon pencerahannya 🙏🏻🙏🏻,2,2022-11-10 14:37:21,apdet kegempaan tdk ada pemberitahuan di hp klo aplikasi yg lama selalu apdet ada pemberitahuan di hp katanya masyarakat harus mitigasi bencana mohon pencerahannya,Negatif,UI/UX,0.7568171620368958
"Update aplikasi terbaru, tampilannya lebih fresh. Karena masih terbiasa yg UI lama jadinya perlu adaptasi.. Untuk info peringatan dini klo bisa ambil pada modus gps, jadi peringatan sesuai area terdekat.. Untuk keakuratan, saya rasa sudah bagus. Berguna bagi orang lapangan seperti saya yg mobile dan berhadapan dengan petani..",5,2022-11-10 13:53:37,update aplikasi terbaru tampilannya lebih fresh karena masih terbiasa yg ui lama jadinya perlu adaptasi untuk info peringatan dini klo bisa ambil pada modus gps jadi peringatan sesuai area terdekat untuk keakuratan saya rasa sudah bagus berguna bagi orang lapangan seperti saya yg mobile dan berhadapan dengan petani,Positif,UI/UX,0.8086158037185669
"untuk tampilan terbaru bagus tapi diinformasi gempa, peta patahan nya kok sekarang gak ada ya?? tidak seperti versi sebelumnya justru yg bisa dicari peta cakupan wilayah yg terkena gempa yg musti ditampilkan semoga dievaluasi",4,2022-11-10 13:35:19,untuk tampilan terbaru bagus tapi diinformasi gempa peta patahan nya kok sekarang gak ada ya tidak seperti versi sebelumnya justru yg bisa dicari peta cakupan wilayah yg terkena gempa yg musti ditampilkan semoga dievaluasi,Positif,Performa,0.3729236423969269
"Pertahankan, DARK MODE nya mana kak?",4,2022-11-10 13:32:59,pertahankan dark mode nya mana kak,Positif,Akurasi,0.46286502480506897
Setelah di perbaharui gak ada keterangan hujan ringan/lebat nya,3,2022-11-10 12:54:11,setelah di perbaharui gak ada keterangan hujan ringan lebat nya,Netral,Akurasi,0.3915964365005493
Kenapa keterangan tentang MMI hilang,2,2022-11-10 06:30:26,kenapa keterangan tentang mmi hilang,Negatif,Akurasi,0.6557480096817017
Setelah update makin gak jelas Apk bmkg nya,1,2022-11-10 01:12:39,setelah update makin gak jelas apk bmkg nya,Negatif,UI/UX,0.7408298850059509
"Alhmdllh sngt mmbntu sy dlm brktivits, krn sy bs tau situasi & kondisi cuaca. Terimakasih info BMKG",5,2022-11-09 21:20:55,alhmdllh sngt mmbntu sy dlm brktivits krn sy bs tau situasi kondisi cuaca terimakasih info bmkg,Positif,Akurasi,0.9721726775169373
"Tampilannya bagus, enak dilihat. Gak jadul",5,2022-11-09 14:30:14,tampilannya bagus enak dilihat gak jadul,Positif,Akurasi,0.44273641705513
tampilannya asik dilihat..kereeen!,5,2022-11-09 14:05:47,tampilannya asik dilihat kereeen,Positif,Performa,0.3838445842266083
"Updateannya bagus, tampilan lebih menarik dan user juga ikut berpartisipasi memberikan informasi.",5,2022-11-09 13:28:17,updateannya bagus tampilan lebih menarik dan user juga ikut berpartisipasi memberikan informasi,Positif,UI/UX,0.6446237564086914
Josgandos,5,2022-11-09 11:16:19,josgandos,Positif,UI/UX,0.45448213815689087
Bagus animasinya,5,2022-11-09 10:50:36,bagus animasinya,Positif,UI/UX,0.4638460874557495
Harusnya sebelum ada bencana sudah nongol peringatannya,5,2022-11-09 10:46:17,harusnya sebelum ada bencana sudah nongol peringatannya,Positif,UI/UX,0.4272862672805786
Ditunggu widget nya juga,5,2022-11-09 10:38:29,ditunggu widget nya juga,Positif,UI/UX,0.6602837443351746
"mungkin yang perlu di optimalkan lagi di bagian radar dan citra satelitnya.radar masih kurang harusnya bentuk gambar video dan bergerak sesuai arah mata angin.dan ada fitur akumulasi cuaca untuk 1 jam,6jam,dan 12jam kedepan.fitur lokasi saat buka radar juga tidak ada.kalau seperti radar di applikasi windy sangat keren dan tambh keren ini aplikasi.",5,2022-11-09 08:23:22,mungkin yang perlu di optimalkan lagi di bagian radar dan citra satelitnya radar masih kurang harusnya bentuk gambar video dan bergerak sesuai arah mata angin dan ada fitur akumulasi cuaca untuk 1 jam 6jam dan 12jam kedepan fitur lokasi saat buka radar juga tidak ada kalau seperti radar di applikasi windy sangat keren dan tambh keren ini aplikasi,Positif,UI/UX,0.8861953020095825
Versi Baru Tampilan UI Lebih Nyaman,5,2022-11-09 06:51:47,versi baru tampilan ui lebih nyaman,Positif,UI/UX,0.6404451727867126
"Untuk UI perkiraan cuacanya nyaman yang versi 2.9.1 , langsung terlihat barisan cuaca nya. 😄 Terimakasih BMKG",4,2022-11-09 06:27:17,untuk ui perkiraan cuacanya nyaman yang versi 2 9 1 langsung terlihat barisan cuaca nya terimakasih bmkg,Positif,UI/UX,0.64499831199646
ui sekarang kerenn 😍,5,2022-11-08 23:52:52,ui sekarang kerenn,Positif,Akurasi,0.49377861618995667
Gak siklon gan,1,2022-11-08 21:53:15,gak siklon gan,Negatif,Akurasi,0.6301941871643066
Mantap abim,5,2022-11-08 18:52:44,mantap abim,Positif,Akurasi,0.38994458317756653
Bagus aplikasi..,5,2022-11-08 18:07:47,bagus aplikasi,Positif,UI/UX,0.8408051133155823
Mantap..akurat,5,2022-11-08 17:15:48,mantap akurat,Positif,UI/UX,0.5425773859024048
Aplikasi udah bagus tapi tolong jgn notifikasi gempa aja..boleh di tambah cuaca kalau bisa..,5,2022-11-08 16:48:46,aplikasi udah bagus tapi tolong jgn notifikasi gempa aja boleh di tambah cuaca kalau bisa,Positif,UI/UX,0.9734769463539124
Wah gile tambah bagus aja BMKG app,5,2022-11-08 16:43:42,wah gile tambah bagus aja bmkg app,Positif,UI/UX,0.9485920667648315
Cukup puas .. tuk kedepannya makin AKURAT semoga sukses.Karena sangat berguna menolong NYAWA Manusia di wilayah Republik ini....,5,2022-11-08 16:39:41,cukup puas tuk kedepannya makin akurat semoga sukses karena sangat berguna menolong nyawa manusia di wilayah republik ini,Positif,UI/UX,0.4287891089916229
"Setelah aplikasinya diupdate,, notifikasi jd gak ada sama sekali,, mohon bantuannya,, thanks",3,2022-11-08 16:28:45,setelah aplikasinya diupdate notifikasi jd gak ada sama sekali mohon bantuannya thanks,Netral,UI/UX,0.9237437844276428
Woke,5,2022-11-08 16:27:34,woke,Positif,Akurasi,0.37874484062194824
"Semangat terus BMKG , makasih atas segala informasinya tentang cuaca.",5,2022-11-07 03:37:19,semangat terus bmkg makasih atas segala informasinya tentang cuaca,Positif,Akurasi,0.55335932970047
byk update terus ksh bintang 1,2,2022-11-06 00:05:45,byk update terus ksh bintang 1,Negatif,UI/UX,0.5045442581176758
Udah hari ke 3 hujan petir nih.. Tp di apps nya berawan doang dri kmren2 sampe besok nya.. Anehnya saya buka the weather channel lebih akurat..,1,2022-11-05 19:14:20,udah hari ke 3 hujan petir nih tp di apps nya berawan doang dri kmren2 sampe besok nya anehnya saya buka the weather channel lebih akurat,Negatif,Akurasi,0.7558016180992126
Okay,4,2022-11-01 12:35:54,okay,Positif,UI/UX,0.3916207253932953
Sy sangat perlu info BMKG karena tempat tinggal di pinggir pantai & sy sering menggunakan aplikasi ini.semoga Info BMKG Khusus ya wilayah B'lampung Info ya Apdet,5,2022-10-31 22:23:13,sy sangat perlu info bmkg karena tempat tinggal di pinggir pantai sy sering menggunakan aplikasi ini semoga info bmkg khusus ya wilayah b lampung info ya apdet,Positif,UI/UX,0.7532225251197815
"Ini infonya lambat banget up nya, kalo bisa lebih ditingkatkan dong karena banyak juga orang yang trust di apl ini",1,2022-10-31 10:18:06,ini infonya lambat banget up nya kalo bisa lebih ditingkatkan dong karena banyak juga orang yang trust di apl ini,Negatif,Performa,0.9079828262329102
Pemberitahuan nya lama dari waktu terjadi nya gempa,3,2022-10-31 10:18:01,pemberitahuan nya lama dari waktu terjadi nya gempa,Netral,Akurasi,0.7921693921089172
Mantap !!,5,2022-10-31 00:54:09,mantap,Positif,UI/UX,0.41766366362571716
Joss..,5,2022-10-30 10:45:12,joss,Positif,UI/UX,0.4496558904647827
"udah seminggu ini notifikasi nggak muncul di hp saya,padahal sebelum²nya jika ada kejadian gempa selalu muncul notifikasi ny,sekarang nggak ada muncl,sampai² apk nya aku hapus terus download lagi,tapi masih aja nggak muncul notif ny.",3,2022-10-30 10:41:52,udah seminggu ini notifikasi nggak muncul di hp saya padahal sebelum²nya jika ada kejadian gempa selalu muncul notifikasi ny sekarang nggak ada muncl sampai² apk nya aku hapus terus download lagi tapi masih aja nggak muncul notif ny,Netral,UI/UX,0.728927731513977
"sangat terbantu oleh aplikasi ini, ada beberapa yang terlambat informasinya, misal gempa di suatu tempat sudah terjadi baru ada update infonya. mudah-mudahan semakin lebih baik kedepannya.",5,2022-10-27 19:07:56,sangat terbantu oleh aplikasi ini ada beberapa yang terlambat informasinya misal gempa di suatu tempat sudah terjadi baru ada update infonya mudah mudahan semakin lebih baik kedepannya,Positif,UI/UX,0.6702887415885925
Sudah bagus. Cuma kenapa sekarang notifikasi gempa GK muncul lagi di beranda layar utama? Meski buka menu aplikasi 🙏,4,2022-10-27 05:42:54,sudah bagus cuma kenapa sekarang notifikasi gempa gk muncul lagi di beranda layar utama meski buka menu aplikasi,Positif,UI/UX,0.9232349395751953
kenapa sekarang notifikasi ga muncul,2,2022-10-26 15:45:48,kenapa sekarang notifikasi ga muncul,Negatif,UI/UX,0.41435694694519043
aplikasi ini sgt berguna unt monitor cuaca dan di.update tiap 3jam 1x dan info sgt akurat sering sy pake unt aktifitas krj..dan mobile..,5,2022-10-25 15:08:15,aplikasi ini sgt berguna unt monitor cuaca dan di update tiap 3jam 1x dan info sgt akurat sering sy pake unt aktifitas krj dan mobile,Positif,Akurasi,0.9674531817436218
Okeee,5,2022-10-24 09:55:20,okeee,Positif,UI/UX,0.3631322681903839
Qwew,3,2022-10-24 07:40:24,qwew,Netral,UI/UX,0.38285964727401733
Sanggat membantu...,5,2022-10-23 23:35:20,sanggat membantu,Positif,UI/UX,0.4451621472835541
MEMBANTUSEMUANNYA,5,2022-10-23 23:07:12,membantusemuannya,Positif,UI/UX,0.41976937651634216
Tolong di tambahkan beberapa lokasi pilihan sekaligus. Supaya aku bisa pantau cuaca di beberapa daerah,5,2022-10-22 18:43:12,tolong di tambahkan beberapa lokasi pilihan sekaligus supaya aku bisa pantau cuaca di beberapa daerah,Positif,UI/UX,0.3925124704837799
Cocok buat ramalan pawang hujan mantap.,5,2022-10-22 13:07:41,cocok buat ramalan pawang hujan mantap,Positif,Akurasi,0.9652946591377258
Kerja yang benar,5,2022-10-22 06:49:22,kerja yang benar,Positif,UI/UX,0.4809064567089081
Mermanpaat,4,2022-10-22 02:06:10,mermanpaat,Positif,UI/UX,0.38204172253608704
"Tolong ditambahkan fitur widget, jadi tidak perlu membuka app",5,2022-10-21 14:59:28,tolong ditambahkan fitur widget jadi tidak perlu membuka app,Positif,UI/UX,0.7002121210098267
Jooozzz mAntap👍👍👍,5,2022-10-21 12:08:03,jooozzz mantap,Positif,Akurasi,0.4773799479007721
kamu bohong,1,2022-10-20 08:30:17,kamu bohong,Negatif,UI/UX,0.4877108037471771
Mantapp,4,2022-10-19 00:05:44,mantapp,Positif,UI/UX,0.41815319657325745
Sagt² berguna bagi kita semua emg oky,5,2022-10-18 12:35:32,sagt² berguna bagi kita semua emg oky,Positif,UI/UX,0.4525347948074341
Pengalaman yang bagus !!!!,4,2022-10-17 15:26:47,pengalaman yang bagus,Positif,UI/UX,0.4709247946739197
"Suka sekali dengan aplikasi BMKG ini untuk cek prakiraan cuaca, karena lebih akurat dibandingkan yang lain, dan kalau bisa dikasih widget supaya prakiraan cuacanya bisa ditampilkan di layar beranda HP tanpa harus membuka aplikasinya 🙌🏻",5,2022-10-17 07:36:08,suka sekali dengan aplikasi bmkg ini untuk cek prakiraan cuaca karena lebih akurat dibandingkan yang lain dan kalau bisa dikasih widget supaya prakiraan cuacanya bisa ditampilkan di layar beranda hp tanpa harus membuka aplikasinya,Positif,Akurasi,0.9147874712944031
Apik,5,2022-10-16 21:08:13,apik,Positif,UI/UX,0.3938807547092438
Info update tentang gempa lambat,1,2022-10-16 08:36:19,info update tentang gempa lambat,Negatif,Akurasi,0.6641711592674255
Info gempa tidak cepat... Setengah jam baru ada,3,2022-10-16 08:30:51,info gempa tidak cepat setengah jam baru ada,Netral,Akurasi,0.8987860083580017
Aplikasi ini sangat membantu 🙏🙏🙏,4,2022-10-15 20:26:19,aplikasi ini sangat membantu,Positif,UI/UX,0.9499397277832031
Bgus bget,5,2022-10-15 08:53:57,bgus bget,Positif,UI/UX,0.3827146887779236
"Xx Dr x xc te, cut bee 😟😮",3,2022-10-14 11:28:13,xx dr x xc te cut bee,Netral,Akurasi,0.43226322531700134
Berguna banget utk mengetahui informasi 👍👍,5,2022-10-12 14:10:12,berguna banget utk mengetahui informasi,Positif,UI/UX,0.5326271653175354
Aplikasi bagus untuk info keadaan dan kondisi cuaca,5,2022-10-11 17:17:10,aplikasi bagus untuk info keadaan dan kondisi cuaca,Positif,UI/UX,0.8328540325164795
"baguss,saya mendapat info banyak ketika saya mendonlod apk ini",5,2022-10-11 16:57:09,baguss saya mendapat info banyak ketika saya mendonlod apk ini,Positif,UI/UX,0.8423740267753601
Tidak akurat dgn keadaan sesungguhnya. Cuaca Daerah saya dari kemarin sampai hari ini hujan kok di info cuaca cerah🌞,1,2022-10-10 05:29:25,tidak akurat dgn keadaan sesungguhnya cuaca daerah saya dari kemarin sampai hari ini hujan kok di info cuaca cerah,Negatif,Performa,0.6232156753540039
Bagus aplikasi nya sangat membantu,5,2022-10-09 18:11:59,bagus aplikasi nya sangat membantu,Positif,UI/UX,0.9587682485580444
BMKG Ok,5,2022-10-09 17:22:37,bmkg ok,Positif,Akurasi,0.5370540618896484
Penting banget,5,2022-10-09 17:09:43,penting banget,Positif,UI/UX,0.3894523084163666
"Lambat informasinya, coba di benerin..masa informasi bisa delay jauh...mana bisa jadi early warning..",1,2022-10-09 17:07:56,lambat informasinya coba di benerin masa informasi bisa delay jauh mana bisa jadi early warning,Negatif,Performa,0.9647231698036194
Kenapa saat ini tidak bisa update cuaca maritim,4,2022-10-09 10:41:36,kenapa saat ini tidak bisa update cuaca maritim,Positif,Performa,0.5282816886901855
"Buat apk nya masih kurang ya sudah 3 tahun saya pakai, tapi kalau soal info gempa sangat lambat bahkan sampai 3 jam baru ada info titik pusat gempa. Kedepannya mohon di tindak lanjuti agar info gempa lebih cepat dan akurat",1,2022-10-09 03:33:21,buat apk nya masih kurang ya sudah 3 tahun saya pakai tapi kalau soal info gempa sangat lambat bahkan sampai 3 jam baru ada info titik pusat gempa kedepannya mohon di tindak lanjuti agar info gempa lebih cepat dan akurat,Negatif,Performa,0.9914819002151489
Semakin jelek g bisa mantau gelombang,2,2022-10-09 03:26:03,semakin jelek g bisa mantau gelombang,Negatif,Performa,0.40191176533699036
Update lambat,4,2022-10-09 03:15:38,update lambat,Positif,Performa,0.9144978523254395
Wah di tempat ku gempa tapi g ada laporan nya masuk di aplikasi terjadi nya dini hari tgl 9 sekitar jam 3:58,1,2022-10-09 03:05:22,wah di tempat ku gempa tapi g ada laporan nya masuk di aplikasi terjadi nya dini hari tgl 9 sekitar jam 3 58,Negatif,UI/UX,0.4137287735939026
"Tolong buat setting notifikasi hanya dalam radius tertentu, terima kasih",3,2022-10-08 22:31:53,tolong buat setting notifikasi hanya dalam radius tertentu terima kasih,Netral,UI/UX,0.4598570168018341
nice app. usefull,5,2022-10-08 20:14:36,nice app usefull,Positif,UI/UX,0.8949153423309326
Gak sesuai Jam 10.00 keatas katanya berawan cerah rupanya hujan,1,2022-10-08 10:54:14,gak sesuai jam 10 00 keatas katanya berawan cerah rupanya hujan,Negatif,Performa,0.4864245057106018
Baru mau nyoba klau bagus aq tambain lagi deh,3,2022-10-07 15:18:05,baru mau nyoba klau bagus aq tambain lagi deh,Netral,Akurasi,0.36572977900505066
Pengen lihat cuaca maritim gagal koneksi mulu pertama donlod nggak,3,2022-10-06 23:52:49,pengen lihat cuaca maritim gagal koneksi mulu pertama donlod nggak,Netral,Performa,0.9454624652862549
Aplikasi yang sangat membantu,5,2022-10-06 18:16:00,aplikasi yang sangat membantu,Positif,UI/UX,0.9384562969207764
"Ketika mengecek cuaca maritim, selalu gagal mengambil data , 🤦🤦🤦🤦,",3,2022-10-05 19:14:59,ketika mengecek cuaca maritim selalu gagal mengambil data,Netral,Akurasi,0.5232818126678467
Kenapa gagal mengambil data,5,2022-10-05 13:33:24,kenapa gagal mengambil data,Positif,Performa,0.6529203057289124
Aplikasi apaan ga guna orang hujan Segede ginih di sebut cerah,1,2022-10-05 12:15:56,aplikasi apaan ga guna orang hujan segede ginih di sebut cerah,Negatif,UI/UX,0.8315644860267639
"Informasi nya valid banget 👍👍👍 Sangat membantu ketika kita mau buat planning,",5,2022-10-04 17:14:36,informasi nya valid banget sangat membantu ketika kita mau buat planning,Positif,Performa,0.43742266297340393
"Udah oke sihh tapi untuk cuaca sya lebih percaya ke peringatan dini dari pada perkiraan cuacanya dan untuk notifikasi gempa terlalu banyak, sekali gempa bisa sampai 3-4 notifikasi lainnya udah perfect banget. Tetap maju BMKG",4,2022-10-04 06:08:11,udah oke sihh tapi untuk cuaca sya lebih percaya ke peringatan dini dari pada perkiraan cuacanya dan untuk notifikasi gempa terlalu banyak sekali gempa bisa sampai 3 4 notifikasi lainnya udah perfect banget tetap maju bmkg,Positif,Akurasi,0.8428277969360352
"Aplikasi tutup sendiri, kalau dah bisa di buka nnt sy rubah lagi postingannya",3,2022-10-03 21:21:47,aplikasi tutup sendiri kalau dah bisa di buka nnt sy rubah lagi postingannya,Netral,UI/UX,0.9262707233428955
"KECAMATAN KANDAT DI KAB KEDIRI PROV JAWA TIMUR KOK TIDAK ADA, MOHON DI UPDATE",1,2022-10-03 15:54:48,kecamatan kandat di kab kediri prov jawa timur kok tidak ada mohon di update,Negatif,Performa,0.6369680166244507
Update beritanya lumayan lambat,3,2022-10-03 15:09:43,update beritanya lumayan lambat,Netral,Performa,0.8002830147743225
Lambat utk pemberitahuan titik gempa,1,2022-10-02 01:48:35,lambat utk pemberitahuan titik gempa,Negatif,Performa,0.8962379693984985
Sangat membantu menginformasikan cuaca dan gempa,5,2022-10-01 21:02:20,sangat membantu menginformasikan cuaca dan gempa,Positif,Akurasi,0.9257804751396179
Sangat berguna saat ingin kerja ke laut,5,2022-09-26 09:19:24,sangat berguna saat ingin kerja ke laut,Positif,UI/UX,0.4478303790092468
manifold Trying out,5,2022-09-26 06:31:06,manifold trying out,Positif,UI/UX,0.43592339754104614
"Aplikasinya bagus, sangat membantu dan rekomendasi.",5,2022-09-25 18:38:16,aplikasinya bagus sangat membantu dan rekomendasi,Positif,UI/UX,0.939695417881012
sip sip,5,2022-09-25 17:39:01,sip sip,Positif,Akurasi,0.4526130259037018
Updatenya kelamaan,3,2022-09-25 03:50:15,updatenya kelamaan,Netral,Performa,0.8583189249038696
Aplikasi yang cukup bagus,4,2022-09-24 10:08:02,aplikasi yang cukup bagus,Positif,UI/UX,0.9630814790725708
"Info untuk keadaan dan kondisi cuaca dan gempa sudah bisa dilihat disini, isi informasi tentang ilmu kebumian dan cuaca, serta lainnya yang mencakup sudah bisa dilihat, dan terlihat informasi dan posisi akurat dan informatif. Bisa lebih baik buat kedepannya .thanks",5,2022-09-23 18:26:10,info untuk keadaan dan kondisi cuaca dan gempa sudah bisa dilihat disini isi informasi tentang ilmu kebumian dan cuaca serta lainnya yang mencakup sudah bisa dilihat dan terlihat informasi dan posisi akurat dan informatif bisa lebih baik buat kedepannya thanks,Positif,Akurasi,0.58107590675354
Sangat membantu untuk mengetahui informasi gempa dan cuaca ter up to date,5,2022-09-23 11:19:52,sangat membantu untuk mengetahui informasi gempa dan cuaca ter up to date,Positif,Akurasi,0.9759929776191711
Kurang jos,2,2022-09-22 10:12:10,kurang jos,Negatif,Performa,0.615318238735199
4 bintang dulu,4,2022-09-21 12:50:26,4 bintang dulu,Positif,UI/UX,0.4178829491138458
"Alhamdulillah aplikasi info BMKG sangat membantu utk sya mengetahui perakiraan cuaca di skitar kokasi sya , trims",5,2022-09-18 20:38:38,alhamdulillah aplikasi info bmkg sangat membantu utk sya mengetahui perakiraan cuaca di skitar kokasi sya trims,Positif,UI/UX,0.586223304271698
Perkiraan. Cuaca. Kecamatan Peso. Kab. Bulungan. KalTara,5,2022-09-18 19:09:24,perkiraan cuaca kecamatan peso kab bulungan kaltara,Positif,Akurasi,0.3815648555755615
Assalamualaikum warahmatullahi afrizal PLN Oku timur Indonesia Keja,5,2022-09-18 17:20:03,assalamualaikum warahmatullahi afrizal pln oku timur indonesia keja,Positif,Akurasi,0.5080203413963318
Membantu masyarakat Indonesia.cuma yg harus diperbaiki 5menit siap kegempaan sudah harus ada informasinya terima kasih BMKG MANTAP💪💪💪,5,2022-09-17 00:08:00,membantu masyarakat indonesia cuma yg harus diperbaiki 5menit siap kegempaan sudah harus ada informasinya terima kasih bmkg mantap,Positif,Akurasi,0.9500159621238708
Kadang tepat juga perkiraan nya Kadang salah,5,2022-09-16 22:41:17,kadang tepat juga perkiraan nya kadang salah,Positif,UI/UX,0.4442155063152313
"Sejak instal aplikasi ini, sering terjadi Gempa 😫😫😫",5,2022-09-15 22:43:26,sejak instal aplikasi ini sering terjadi gempa,Positif,UI/UX,0.5136796832084656
nama dusun/desa belum tercantum,5,2022-09-12 11:49:39,nama dusun desa belum tercantum,Positif,UI/UX,0.46262848377227783
Sangat membantu dlm perjalanan keluar kota,5,2022-09-11 14:03:45,sangat membantu dlm perjalanan keluar kota,Positif,UI/UX,0.47582703828811646
Sangat bagus untuk informasinya,5,2022-09-11 09:07:35,sangat bagus untuk informasinya,Positif,UI/UX,0.44198328256607056
Is ok,5,2022-09-11 08:39:58,is ok,Positif,Akurasi,0.3917158246040344
Bagus bgat,5,2022-09-11 07:18:52,bagus bgat,Positif,Akurasi,0.39644306898117065
Terimakasih BMKG telah membuat dan mempermudah saat perjalanan,5,2022-09-10 18:57:00,terimakasih bmkg telah membuat dan mempermudah saat perjalanan,Positif,Akurasi,0.7046480774879456
Semenjak UP perkiran cuaca tmbah tdak akurat. Mohon perbaiki,1,2022-09-10 07:27:02,semenjak up perkiran cuaca tmbah tdak akurat mohon perbaiki,Negatif,Performa,0.377208411693573
Joooossss,5,2022-09-09 21:32:38,joooossss,Positif,Akurasi,0.3796638250350952
mantulll,5,2022-09-08 20:40:41,mantulll,Positif,Akurasi,0.39353805780410767
Ashiaaapppp,5,2022-09-08 19:47:15,ashiaaapppp,Positif,Akurasi,0.44651979207992554
Bagus & sgt bermanfaat memberi info cepat shg masyarakat boleh bertindak tepat,4,2022-09-08 17:25:42,bagus sgt bermanfaat memberi info cepat shg masyarakat boleh bertindak tepat,Positif,UI/UX,0.6358212828636169
Kaya nya sih bagus cuman sayang di fiture cuacanya ga ada kecamatan Cikande,1,2022-09-07 13:08:08,kaya nya sih bagus cuman sayang di fiture cuacanya ga ada kecamatan cikande,Negatif,UI/UX,0.4801713228225708
Aplikasi ini sangat bagus untuk malihat cuaca,5,2022-09-06 20:04:58,aplikasi ini sangat bagus untuk malihat cuaca,Positif,UI/UX,0.7773101329803467
"Tidak akurat, saya daerah Jayapura, Keerom Arso, kemarin hujan, ini hari hujan, tapi di BMKG kemarin dan ini hari di tulis tidak hujan, gimana sih, masa sampai dua hari meleset berturut turut",1,2022-09-05 14:55:16,tidak akurat saya daerah jayapura keerom arso kemarin hujan ini hari hujan tapi di bmkg kemarin dan ini hari di tulis tidak hujan gimana sih masa sampai dua hari meleset berturut turut,Negatif,Performa,0.5090468525886536
Bagus tingkatkan,5,2022-09-04 16:33:21,bagus tingkatkan,Positif,UI/UX,0.4096817970275879
"Apk ini membantu saya dalam menemukan suatu bencana, tempat bencana, tempat mantan",5,2022-09-04 08:09:24,apk ini membantu saya dalam menemukan suatu bencana tempat bencana tempat mantan,Positif,UI/UX,0.9557644724845886
"Blm coba tp lsg berikan 5 *, semoga sesuai dg ekspektasi",5,2022-09-04 07:26:30,blm coba tp lsg berikan 5 semoga sesuai dg ekspektasi,Positif,UI/UX,0.4119916558265686
"kurang ada pembritauan, ketika ada gempa",3,2022-09-03 22:39:52,kurang ada pembritauan ketika ada gempa,Netral,Akurasi,0.6280425190925598
Tiap hari ada Gempa terus,5,2022-09-02 18:10:12,tiap hari ada gempa terus,Positif,Akurasi,0.8548139333724976
Mntaps,5,2022-09-02 09:47:33,mntaps,Positif,Akurasi,0.361652672290802
Sangat baik dan puas,5,2022-09-01 10:44:07,sangat baik dan puas,Positif,Akurasi,0.36612167954444885
"Mantap, Bmkg Tempat Informasi Cuaca, Suhu, Udara, Informasi Tentang Gempa Bumi. Maju Terus Bmkg.",5,2022-08-30 14:17:52,mantap bmkg tempat informasi cuaca suhu udara informasi tentang gempa bumi maju terus bmkg,Positif,Akurasi,0.6306012868881226
"mohon di kasi kotak pencarian lokasi agar cepat mencari lokasinya,terima kasih",5,2022-08-30 13:42:14,mohon di kasi kotak pencarian lokasi agar cepat mencari lokasinya terima kasih,Positif,Performa,0.4140789806842804
info yg bagus,5,2022-08-30 10:57:10,info yg bagus,Positif,Performa,0.3727905750274658
Kalau bisa lebih canggih lagi bmkg nya,4,2022-08-29 20:24:13,kalau bisa lebih canggih lagi bmkg nya,Positif,Akurasi,0.3484683632850647
Aplikasi nya bagus,5,2022-08-29 12:02:33,aplikasi nya bagus,Positif,UI/UX,0.9588026404380798
Apknya bagus dan sangat membantu dalam mengetahui Titi Gempa bumi yang terjadi Tapi kalau bisa ditambahkan Alarm pemberitahuan saat guncangan terjadi supaya kita siap siaga Apalagi dimalam hari saat tidur,5,2022-08-29 06:11:44,apknya bagus dan sangat membantu dalam mengetahui titi gempa bumi yang terjadi tapi kalau bisa ditambahkan alarm pemberitahuan saat guncangan terjadi supaya kita siap siaga apalagi dimalam hari saat tidur,Positif,UI/UX,0.9031076431274414
"Hallo Developer. Dengan Aplikasi Info BMKG Yang Saat Ini Saya Gunakan, Sangat Berguna Sekali. Khususnya Untuk Pengguna Smartphone Android. Terimakasih 👍🏻",5,2022-08-28 22:00:14,hallo developer dengan aplikasi info bmkg yang saat ini saya gunakan sangat berguna sekali khususnya untuk pengguna smartphone android terimakasih,Positif,Akurasi,0.8776845335960388
Luar biasa,3,2022-08-28 14:55:07,luar biasa,Netral,UI/UX,0.41904550790786743
info sering tlat,3,2022-08-27 15:20:32,info sering tlat,Netral,Performa,0.6781967282295227
info cuacanya sangat tak sesuai,1,2022-08-26 17:54:01,info cuacanya sangat tak sesuai,Negatif,Performa,0.5003051161766052
Gak ada fitur auto location,2,2022-08-26 15:43:22,gak ada fitur auto location,Negatif,Performa,0.3900238871574402
"Apk nya bagus, membantu juga, jadi kalo mau pergi pergi bisa tau cuaca nya bagus atau gak",4,2022-08-25 14:40:01,apk nya bagus membantu juga jadi kalo mau pergi pergi bisa tau cuaca nya bagus atau gak,Positif,Akurasi,0.691297709941864
