Komentar,Bintang,Tanggal,clean_text,Emosi
Sangat membantu,5,2022-08-22 15:45:07,sangat membantu,bahagia
Mantap sekali,5,2022-08-22 15:40:18,mantap sekali,bahagia
Bagus yess,5,2022-08-22 00:03:29,bagus yess,bahagia
Mantap,5,2022-08-21 17:48:10,mantap,bahagia
Tg to yrfg tgl rc CD,3,2022-08-20 19:06:45,tg to yrfg tgl rc cd,marah
𝐉𝐨𝐬𝐬,5,2022-08-20 18:34:02,𝐉𝐨𝐬𝐬,bahagia
Bermanfaat,5,2022-08-19 23:19:25,bermanfaat,bahagia
Selalu update informasi terbaru,5,2022-08-19 15:29:32,selalu update informasi terbaru,marah
Maluku utara,5,2022-08-18 16:17:22,maluku utara,sedih
Bagus,5,2022-08-18 14:49:13,bagus,bahagia
Mantap.... Trus semangat untuk mengembangkan dan memberikan notif2 bermanfaat,5,2022-08-17 20:45:44,mantap trus semangat untuk mengembangkan dan memberikan notif2 bermanfaat,bahagia
Coba dulu,2,2022-08-16 19:28:36,coba dulu,marah
"Sangat bermanfaat bagi bangsa, tolong di tambahkan widget pada perkiraan cuaca dan peringatan,,🙏",5,2022-08-15 10:15:34,sangat bermanfaat bagi bangsa tolong di tambahkan widget pada perkiraan cuaca dan peringatan,bahagia
Ok,5,2022-08-13 19:56:43,ok,bahagia
Lebih di tingkatkan lagi.,5,2022-08-13 02:56:46,lebih di tingkatkan lagi,bahagia
Terima Kasih,5,2022-08-12 22:58:04,terima kasih,bahagia
Perkiraan dampaknya gempa bumi besar dahsyat,5,2022-08-12 19:10:11,perkiraan dampaknya gempa bumi besar dahsyat,marah
Mantap,5,2022-08-12 14:27:47,mantap,bahagia
usefull and easy,5,2022-08-12 07:10:01,usefull and easy,marah
Sangat bagus,5,2022-08-11 07:37:40,sangat bagus,bahagia
"Di Vivo T1 5G, notifikasi tidak bisa muncul meskipun semua akses sudah dibuka. Seharusnya Developer rajin mengupdate sesuai perkembangan hape2 baru, supaya notifikasi bisa berfungsi dengan baik sehingga bermanfaat.",1,2022-08-10 21:14:25,di vivo t1 5g notifikasi tidak bisa muncul meskipun semua akses sudah dibuka seharusnya developer rajin mengupdate sesuai perkembangan hape2 baru supaya notifikasi bisa berfungsi dengan baik sehingga bermanfaat,bahagia
Selalu menjadi pedoman saat memulai pekerjaan lapangan serta dalam perjalanan👍,5,2022-08-10 05:40:47,selalu menjadi pedoman saat memulai pekerjaan lapangan serta dalam perjalanan,bahagia
Aplikasi yg sangat Baik dan cepat mendapat informasi tentang Bencana Alam,4,2022-08-09 21:44:19,aplikasi yg sangat baik dan cepat mendapat informasi tentang bencana alam,bahagia
Sangat membantu untuk mengetahui cuaca,3,2022-08-09 20:18:57,sangat membantu untuk mengetahui cuaca,marah
sangat mmbantu,5,2022-08-09 13:46:14,sangat mmbantu,bahagia
Bagus mantap,5,2022-08-09 07:08:16,bagus mantap,bahagia
aplikasi sampah,1,2022-08-09 04:49:56,aplikasi sampah,sedih
Bmkg cuaca hujan sama cuaca dingin Benar aku dukung bmkg ya,5,2022-08-08 16:42:03,bmkg cuaca hujan sama cuaca dingin benar aku dukung bmkg ya,bahagia
Sangat membatu bisa mengetahui lokasi -lokasih gempa,5,2022-08-08 10:51:33,sangat membatu bisa mengetahui lokasi lokasih gempa,bahagia
"Update info gempa nya lama bener, barusan ini kerasa gempa di lokasi saya, saya mau lihat berapa kekuatan gempa nya eh belum update di bmkg, tolong lah yg cepet update info gempa nya sama prakiraan cuacanya diprovinsi lampung keterangan nya tidak dapat menemukan, emang lampung bukan termasuk provinsi di Indonesia apa..... Ngaco ini",1,2022-08-08 05:55:56,update info gempa nya lama bener barusan ini kerasa gempa di lokasi saya saya mau lihat berapa kekuatan gempa nya eh belum update di bmkg tolong lah yg cepet update info gempa nya sama prakiraan cuacanya diprovinsi lampung keterangan nya tidak dapat menemukan emang lampung bukan termasuk provinsi di indonesia apa ngaco ini,takut
Cukup akurat...,5,2022-08-07 16:22:25,cukup akurat,bahagia
"Bagus apk nya kapan hujang,gempa,dan dll",5,2022-08-07 12:02:49,bagus apk nya kapan hujang gempa dan dll,bahagia
Masih perlu perbaikan hari ini ditempat saya tgl 7 Agustus hujan tapi diapk berawan dan saya lihat ada beberapa kecamatan yg prakiraanx sama aja .. .. brrti mencakup untuk satu kabupaten. ..,1,2022-08-07 05:53:14,masih perlu perbaikan hari ini ditempat saya tgl 7 agustus hujan tapi diapk berawan dan saya lihat ada beberapa kecamatan yg prakiraanx sama aja brrti mencakup untuk satu kabupaten,marah
"sangat dibutuhkan saya,orang manula apa bila datang bencana.",5,2022-08-05 20:08:06,sangat dibutuhkan saya orang manula apa bila datang bencana,takut
bagus,5,2022-08-05 16:32:02,bagus,bahagia
uptodate,5,2022-08-05 16:29:12,uptodate,marah
Sangat membantu,5,2022-08-04 14:19:58,sangat membantu,bahagia
Bagus,5,2022-08-03 17:55:28,bagus,bahagia
Berguna banget,5,2022-08-03 12:54:41,berguna banget,bahagia
Mntap,5,2022-08-02 19:58:43,mntap,takut
Bagus,5,2022-08-02 09:16:46,bagus,bahagia
Aplikasix sangat bagus.,5,2022-08-02 08:22:05,aplikasix sangat bagus,bahagia
Sangat membantu,5,2022-08-01 04:35:28,sangat membantu,bahagia
Cukup bagus.,5,2022-07-31 13:45:07,cukup bagus,bahagia
Oke,3,2022-07-30 13:36:32,oke,bahagia
"Seharusnya info bnkg ini di offline kan, apablia terjadi bencana dan koneksi internet hilang maka dengan mudah mengetahui info lebih lanjut di apk ini. 🙏🙏🙏🙏",4,2022-07-30 08:00:23,seharusnya info bnkg ini di offline kan apablia terjadi bencana dan koneksi internet hilang maka dengan mudah mengetahui info lebih lanjut di apk ini,takut
Sangat membantu saya,5,2022-07-30 06:38:10,sangat membantu saya,bahagia
Terbantu Skli,5,2022-07-29 23:36:26,terbantu skli,bahagia
Bagus,5,2022-07-29 20:37:59,bagus,bahagia
Sangat bermanfaat,5,2022-07-29 19:53:14,sangat bermanfaat,bahagia
"Lambat ya sekrang respons BMKG di daerah saya ada gempa ,udah 15 mnit blum juga di ketahui lokasi gempanya",1,2022-07-29 19:18:18,lambat ya sekrang respons bmkg di daerah saya ada gempa udah 15 mnit blum juga di ketahui lokasi gempanya,takut
Sangat Bermanfaat,5,2022-07-28 16:16:45,sangat bermanfaat,bahagia
Up to date always,5,2022-07-28 14:55:45,up to date always,marah
Sayang nya g bisa widget,3,2022-07-28 12:42:36,sayang nya g bisa widget,sedih
HASAN NUR,5,2022-07-28 06:18:03,hasan nur,bahagia
Aplikasi yang berguna untuk memberitahukan cuaca dan kemungkinan bencana alam,5,2022-07-28 03:41:01,aplikasi yang berguna untuk memberitahukan cuaca dan kemungkinan bencana alam,takut
Sangat membantu,5,2022-07-27 23:33:40,sangat membantu,bahagia
Yang dunia internasional ikut masuk radar BMKG gak?,5,2022-07-27 19:11:49,yang dunia internasional ikut masuk radar bmkg gak,marah
Aplikasi yg mantap,5,2022-07-27 14:25:18,aplikasi yg mantap,bahagia
Di coba dulu,2,2022-07-26 19:56:42,di coba dulu,marah
Cukup mmbantu sanģat brguna,5,2022-07-26 19:11:17,cukup mmbantu sanģat brguna,bahagia
Berguna,5,2022-07-26 10:22:21,berguna,bahagia
"Aplikasi bagus,,, sangat membantu...",4,2022-07-26 08:38:43,aplikasi bagus sangat membantu,bahagia
"Infonya sangat berguna, mungkin bisa lebih cepat lagi naiknya..",5,2022-07-26 05:24:47,infonya sangat berguna mungkin bisa lebih cepat lagi naiknya,bahagia
"Terimakasih sudah membuat aplikasi ini. Simple, dan gak ribet",5,2022-07-25 22:39:50,terimakasih sudah membuat aplikasi ini simple dan gak ribet,bahagia
Ojo kemaki!! Sing nguwei ⭐1.. seng jare ngene ngono. Kurang ngene kurang ngono!! Dapurmu gari dunlut instal ora kating design apk ojo kakean NYACAT!,5,2022-07-25 21:45:19,ojo kemaki sing nguwei 1 seng jare ngene ngono kurang ngene kurang ngono dapurmu gari dunlut instal ora kating design apk ojo kakean nyacat,sedih
Bagus,4,2022-07-25 16:31:54,bagus,bahagia
Informasi kurang cepat dg wkt kejadian,3,2022-07-25 16:28:09,informasi kurang cepat dg wkt kejadian,sedih
Good,5,2022-07-25 16:22:17,good,bahagia
Aplikasi bagus sangat membantu,5,2022-07-25 16:11:22,aplikasi bagus sangat membantu,bahagia
Bagus,5,2022-07-25 13:15:45,bagus,bahagia
Mantap dan menyenangkan,5,2022-07-24 17:15:47,mantap dan menyenangkan,bahagia
Aplikasi nya sangat bagus,5,2022-07-24 14:36:09,aplikasi nya sangat bagus,bahagia
Bagus infonya,5,2022-07-24 07:08:05,bagus infonya,marah
bermanfaat,5,2022-07-24 05:20:28,bermanfaat,bahagia
"sangat informatif dan cukup bermanfaat dalam memberikan informasi terkait cuaca, iklim, maupun gempa bumi dan tsunami.",5,2022-07-23 21:53:00,sangat informatif dan cukup bermanfaat dalam memberikan informasi terkait cuaca iklim maupun gempa bumi dan tsunami,marah
Aplikasi nya Mantap jadi kita bisa tau Info Cuaca & Gempa,5,2022-07-23 18:49:12,aplikasi nya mantap jadi kita bisa tau info cuaca gempa,bahagia
Sangat membantu,5,2022-07-23 18:24:35,sangat membantu,bahagia
Mantap,5,2022-07-23 17:44:22,mantap,bahagia
Bermanfaat,3,2022-07-23 15:01:12,bermanfaat,bahagia
Semoga bisa membersamai Indonesia lebih baik,5,2022-07-23 14:18:09,semoga bisa membersamai indonesia lebih baik,marah
Membantu sekali untuk petani,5,2022-07-23 13:45:41,membantu sekali untuk petani,bahagia
Baik,4,2022-07-23 13:29:53,baik,bahagia
Sangat membantu,5,2022-07-23 13:15:18,sangat membantu,bahagia
Mantap,1,2022-07-23 06:03:02,mantap,bahagia
OK,5,2022-07-23 03:00:30,ok,bahagia
Penting sekali buat saya,5,2022-07-22 05:26:22,penting sekali buat saya,bahagia
Falit bosku,4,2022-07-22 00:57:29,falit bosku,sedih
Mntap+akurat,5,2022-07-21 22:57:20,mntap akurat,marah
"Sangat membantu sekali, setiap ada gempa ataupun perubahan cuaca langsung dapat update infonya",4,2022-07-21 18:26:52,sangat membantu sekali setiap ada gempa ataupun perubahan cuaca langsung dapat update infonya,bahagia
Handal dan tangguh,5,2022-07-21 14:41:41,handal dan tangguh,sedih
Sangat membantu aktifitas keseharian,5,2022-07-21 11:07:50,sangat membantu aktifitas keseharian,bahagia
Oko,5,2022-07-20 21:14:09,oko,marah
Bagus,5,2022-07-20 19:23:53,bagus,bahagia
Dangan membantu dan akurat,5,2022-07-20 11:02:25,dangan membantu dan akurat,bahagia
"Aplikasi Yng Sangat Membantu dn Berguna,,, Matap,,,",5,2022-07-19 10:47:31,aplikasi yng sangat membantu dn berguna matap,bahagia
Mantap,5,2022-07-19 10:09:14,mantap,bahagia
"Level naik peringkat, Semeru,,tekhnologi",1,2022-07-19 09:16:45,level naik peringkat semeru tekhnologi,sedih
Sangat membantu,5,2022-07-19 07:58:19,sangat membantu,bahagia
Bagus,4,2022-07-19 05:36:12,bagus,bahagia
Sangat membantu untuk memantau perubahan dan perkembangan cuaca,5,2022-07-19 05:26:04,sangat membantu untuk memantau perubahan dan perkembangan cuaca,bahagia
Sangat baik,5,2022-07-19 00:38:03,sangat baik,bahagia
Keren,5,2022-07-18 22:48:53,keren,bahagia
"kenapa saya belum mendapatkan notifikasi gempa di hp saya, padahal gempa sudah 10 menit yang lalu",1,2022-07-18 22:47:53,kenapa saya belum mendapatkan notifikasi gempa di hp saya padahal gempa sudah 10 menit yang lalu,bahagia
Banyak gempa tdk di deteksi bmkg,1,2022-07-18 22:46:54,banyak gempa tdk di deteksi bmkg,marah
Lumayan bagus aplikasinya,4,2022-07-18 18:09:26,lumayan bagus aplikasinya,marah
Apk bagus,5,2022-07-18 13:25:01,apk bagus,bahagia
Sangat membantu,5,2022-07-18 12:02:57,sangat membantu,bahagia
"Sangat membatu aplikasi nya, terima kasih",5,2022-07-18 05:38:31,sangat membatu aplikasi nya terima kasih,bahagia
Terpercaya,5,2022-07-17 23:25:14,terpercaya,sedih
Bagus sekali aplikasi enya sangat bagus sekali 👍😊,5,2022-07-17 22:23:21,bagus sekali aplikasi enya sangat bagus sekali,bahagia
Aplikasi ini sangat membantu terutama buat notif tentang gempa yang terjadi di wilayah indonesia..,5,2022-07-17 20:29:15,aplikasi ini sangat membantu terutama buat notif tentang gempa yang terjadi di wilayah indonesia,bahagia
Sangat membantu info cuaca.,5,2022-07-17 20:19:43,sangat membantu info cuaca,bahagia
Jelek,3,2022-07-17 20:12:51,jelek,sedih
Ok ok,5,2022-07-17 19:33:38,ok ok,bahagia
Mantap,5,2022-07-17 17:15:00,mantap,bahagia
Cepat tanggap info gempa di seluruh indonesia,5,2022-07-17 16:57:07,cepat tanggap info gempa di seluruh indonesia,takut
Ok,5,2022-07-17 11:45:33,ok,bahagia
"Aplikasi sangat membantu, sayang gk di kasih pasang surut air laut.",4,2022-07-17 10:36:32,aplikasi sangat membantu sayang gk di kasih pasang surut air laut,sedih
"Sangat informatif, terimakasih Aplikator, sehat n sukses selalu, Aamiin.",5,2022-07-17 08:59:48,sangat informatif terimakasih aplikator sehat n sukses selalu aamiin,bahagia
The best.,5,2022-07-17 06:21:57,the best,marah
Oke,5,2022-07-17 06:10:36,oke,bahagia
Coba lokasi dibuat menyesuaikan pengaturan lokasi GPS terupdate dari HP,1,2022-07-16 23:06:02,coba lokasi dibuat menyesuaikan pengaturan lokasi gps terupdate dari hp,marah
Ok bingit,5,2022-07-16 22:07:27,ok bingit,bahagia
Aplikasi nya bagus buat tau cuacanya setiap hari nya 👍🙏🏻,5,2022-07-16 20:55:25,aplikasi nya bagus buat tau cuacanya setiap hari nya,bahagia
Baik dan informatif,5,2022-07-16 17:54:28,baik dan informatif,bahagia
semakin di tingkatkan dan cepat kasih kabar update ke warga yang setelah terdampak gempa karna kadang informasi telat hingga 10 menitan bagi warga pesisir pantai biar tidak panik dan tetap tenang antara harus evakuasi atw tidak dan bergabung dengan setiap ofrator nomer ponsel untuk ngasih info ke masarakat yang terdampak bencana gempa hususnya wilayah pesisir pantai di karnakan masarakat masih banyak yang tak tau atw tak memiliki app bmkg,5,2022-07-16 09:54:27,semakin di tingkatkan dan cepat kasih kabar update ke warga yang setelah terdampak gempa karna kadang informasi telat hingga 10 menitan bagi warga pesisir pantai biar tidak panik dan tetap tenang antara harus evakuasi atw tidak dan bergabung dengan setiap ofrator nomer ponsel untuk ngasih info ke masarakat yang terdampak bencana gempa hususnya wilayah pesisir pantai di karnakan masarakat masih banyak yang tak tau atw tak memiliki app bmkg,bahagia
Luar biasaa ... Terimakasih banyak atas kerja kerasnya ... Anda sangat profesional ...,5,2022-07-16 09:15:05,luar biasaa terimakasih banyak atas kerja kerasnya anda sangat profesional,bahagia
Sangat membantu sekali dalam melakukan perjalanan ke suatu tempat🥰🤩👍,5,2022-07-16 08:54:32,sangat membantu sekali dalam melakukan perjalanan ke suatu tempat,bahagia
Ok,5,2022-07-16 06:16:38,ok,bahagia
Sudah baik,5,2022-07-16 05:05:18,sudah baik,bahagia
Oke,5,2022-07-15 19:22:14,oke,bahagia
Amazing,5,2022-07-15 10:18:30,amazing,marah
Bagus,5,2022-07-14 22:20:10,bagus,bahagia
Pedoman Nelayan,5,2022-07-14 21:49:08,pedoman nelayan,marah
Sangat membantu & terus update rerbaru,5,2022-07-14 21:30:15,sangat membantu terus update rerbaru,bahagia
"Informasi Cuaca di beranda tidak menunjukkan lokasi yg sudah di atur di pengaturan, jadi harus buka menu cuaca dan pilih kabupaten dulu. UI nya susah untuk navigasi di bagian cuaca, bayangkan mau scroll prakiraan cuaca kebawah aja susahnya minta ampun, tolong lah diperbaiki, sudah berapa kali update belum ada perbaikan.",2,2022-07-14 19:54:37,informasi cuaca di beranda tidak menunjukkan lokasi yg sudah di atur di pengaturan jadi harus buka menu cuaca dan pilih kabupaten dulu ui nya susah untuk navigasi di bagian cuaca bayangkan mau scroll prakiraan cuaca kebawah aja susahnya minta ampun tolong lah diperbaiki sudah berapa kali update belum ada perbaikan,takut
Ok,5,2022-07-14 13:59:22,ok,bahagia
Bagus,5,2022-07-14 10:23:48,bagus,bahagia
Aplikasi Bagus,5,2022-07-14 10:20:43,aplikasi bagus,bahagia
Sangat membantu,5,2022-07-14 10:05:30,sangat membantu,bahagia
The best,5,2022-07-14 10:05:17,the best,marah
Berguna sekali untuk mendapatkan informasi terkini terkait cuaca dan bencana alam,5,2022-07-14 09:44:04,berguna sekali untuk mendapatkan informasi terkini terkait cuaca dan bencana alam,bahagia
Lumayan tepat,4,2022-07-14 08:07:23,lumayan tepat,bahagia
Sangat membantu dalam usaha pertanian utama dlm rencana kerja,5,2022-07-14 00:12:23,sangat membantu dalam usaha pertanian utama dlm rencana kerja,bahagia
Sangat menbantu,5,2022-07-13 21:22:55,sangat menbantu,bahagia
Setelah di update susah mau scroll ke bawah mau lihat dihari berikutnya! Tolong lah diperbaiki euyyy! Belum lagi pra perkiraan cuaca nya hampir tidak bisa dipercaya,1,2022-07-13 20:33:44,setelah di update susah mau scroll ke bawah mau lihat dihari berikutnya tolong lah diperbaiki euyyy belum lagi pra perkiraan cuaca nya hampir tidak bisa dipercaya,takut
"Keren..,,,,",5,2022-07-13 19:03:59,keren,bahagia
Semoga aplikasi ini membantu setiap orang yg bepergian,5,2022-07-13 12:12:49,semoga aplikasi ini membantu setiap orang yg bepergian,marah
Bagus aplikasi nya tingkatkan terus aplikasi bmkgnya menjadi aplikasi lebih baik,5,2022-07-13 08:29:09,bagus aplikasi nya tingkatkan terus aplikasi bmkgnya menjadi aplikasi lebih baik,bahagia
Sangat mudah,4,2022-07-13 08:20:14,sangat mudah,marah
"Sangat membantu utk pantau cuaca,khusus nya keadaan laut sesuai profesi kami...trimks.",5,2022-07-13 07:00:19,sangat membantu utk pantau cuaca khusus nya keadaan laut sesuai profesi kami trimks,bahagia
Mantap,5,2022-07-13 07:00:10,mantap,bahagia
Mantaaap dan andalan....kreeen,5,2022-07-13 06:23:05,mantaaap dan andalan kreeen,bahagia
"Aplikasi ini membantu sekali, apa lagi saya sebagai petani sangat terbantu adanya aplikasi ini, trimakasih sekali",5,2022-07-13 02:14:46,aplikasi ini membantu sekali apa lagi saya sebagai petani sangat terbantu adanya aplikasi ini trimakasih sekali,bahagia
Mantab,5,2022-07-12 21:29:03,mantab,bahagia
"Sangat membantu,",1,2022-07-12 19:12:08,sangat membantu,bahagia
"Kalau lagi pagi2 bisanya saya lihat MKG bawa saya adala petani jadi bar tau cuaca ,saya sukasaaaaa",5,2022-07-12 18:46:22,kalau lagi pagi2 bisanya saya lihat mkg bawa saya adala petani jadi bar tau cuaca saya sukasaaaaa,bahagia
Tidak akurat sama sekali,3,2022-07-12 18:45:38,tidak akurat sama sekali,sedih
Good,5,2022-07-12 15:50:57,good,bahagia
membantu,5,2022-07-12 15:36:57,membantu,bahagia
Dipercepat lagi informasi masuk Jadi segera kita bisa evakuasi diri,5,2022-07-12 12:14:04,dipercepat lagi informasi masuk jadi segera kita bisa evakuasi diri,bahagia
Sangat membantu utk pemantau cuaca/gempa..,5,2022-07-12 11:18:11,sangat membantu utk pemantau cuaca gempa,marah
Sangat membantu,5,2022-07-12 10:59:04,sangat membantu,bahagia
Bagus bisa mengetahui lokasi gempa terkini,4,2022-07-12 10:48:28,bagus bisa mengetahui lokasi gempa terkini,bahagia
"aplikasi sangat berguna agar bisa tahu jika terjadi gempa dan potensi tsunami. Tetapi, info bmkg selalu memberikan notifikasi berulang. Gempa di lokasiA sudah dinotifikasikan, beberapa menit kemudian diinfokan lagi. Sebagai user jadi bingung, ini gempa yang tadi atau ada gempa susulan.",4,2022-07-12 10:24:33,aplikasi sangat berguna agar bisa tahu jika terjadi gempa dan potensi tsunami tetapi info bmkg selalu memberikan notifikasi berulang gempa di lokasia sudah dinotifikasikan beberapa menit kemudian diinfokan lagi sebagai user jadi bingung ini gempa yang tadi atau ada gempa susulan,takut
Apk sangat bermanfaat selalu update infonya,5,2022-07-12 10:18:40,apk sangat bermanfaat selalu update infonya,bahagia
Cepat mudah bermanfaat,5,2022-07-12 10:03:50,cepat mudah bermanfaat,bahagia
Jadi lebih tau duluan kalau ada gempa,5,2022-07-12 08:43:50,jadi lebih tau duluan kalau ada gempa,sedih
Very good,5,2022-07-12 07:16:00,very good,bahagia
Bagus👍👍👍,5,2022-07-12 04:55:23,bagus,bahagia
"Sangat (Tidak Membantu). Gempa Bumi,mau di lihat, nggak bisa2. 1 jam kemudian, sama juga, tetap nggak bisa, padahal nggak ada masalah sama jaringan.",1,2022-07-12 04:04:50,sangat tidak membantu gempa bumi mau di lihat nggak bisa2 1 jam kemudian sama juga tetap nggak bisa padahal nggak ada masalah sama jaringan,takut
Sangat lmbat untuk pemberitahuan gempa di kotaku dan perkiraan cuacanya juga di kotaku gak akurat,1,2022-07-12 03:56:12,sangat lmbat untuk pemberitahuan gempa di kotaku dan perkiraan cuacanya juga di kotaku gak akurat,takut
Saya kasi bintang 4 dlu,4,2022-07-12 01:25:07,saya kasi bintang 4 dlu,marah
Salah satu aplikasi yang penting untuk didownload oleh siapapun agar tau informasi gempa bumi maupun cuaca dan kondisi udara disekitar 👍,5,2022-07-11 22:46:07,salah satu aplikasi yang penting untuk didownload oleh siapapun agar tau informasi gempa bumi maupun cuaca dan kondisi udara disekitar,marah
Kurang akurat,5,2022-07-11 21:29:25,kurang akurat,sedih
𝙊𝙠𝙚,5,2022-07-11 21:14:15,𝙊𝙠𝙚,bahagia
Sangat menguntung bagi masyarakat atas informasi cuaca yg terjadi di setiap kota bahkan sampai di kecamatan,5,2022-07-11 21:00:23,sangat menguntung bagi masyarakat atas informasi cuaca yg terjadi di setiap kota bahkan sampai di kecamatan,bahagia
Mantap,5,2022-07-11 20:10:25,mantap,bahagia
Sangat bermanfaat utk mendapat informasi gempa bumi dll,5,2022-07-11 20:07:18,sangat bermanfaat utk mendapat informasi gempa bumi dll,bahagia
Update makin bagus...👍,5,2022-07-11 18:50:15,update makin bagus,bahagia
Mantap,4,2022-07-11 18:26:27,mantap,bahagia
Sangat membantu,5,2022-07-11 17:43:28,sangat membantu,bahagia
Sangat membantu dalam memilih waktu perjalanan mengetahui kondisi daerah lai,5,2022-07-11 17:19:03,sangat membantu dalam memilih waktu perjalanan mengetahui kondisi daerah lai,bahagia
Membantu pekerjaan,5,2022-07-11 16:56:37,membantu pekerjaan,bahagia
Nice,5,2022-07-11 16:47:36,nice,bahagia
Sangat membantu,4,2022-07-11 16:41:21,sangat membantu,bahagia
Sangat bermanfaat.,5,2022-07-11 16:33:32,sangat bermanfaat,bahagia
Sebagai informasi yang akurat,5,2022-07-11 16:22:00,sebagai informasi yang akurat,bahagia
Mantap,5,2022-07-11 16:21:16,mantap,bahagia
"Alus lah, ngan sok rada telat infona. Sakitu we info ti pusat mah.",5,2022-07-11 16:19:16,alus lah ngan sok rada telat infona sakitu we info ti pusat mah,sedih
Kalo bisa di tambahin fitur peringatan dengan bunyi yang keras biar bisa kedengeran bukan cuma notif,5,2022-07-11 16:08:03,kalo bisa di tambahin fitur peringatan dengan bunyi yang keras biar bisa kedengeran bukan cuma notif,takut
Mantapp,5,2022-07-11 15:59:52,mantapp,bahagia
Aplikàsi yg cocok buat liat cuaca,5,2022-07-11 15:57:29,aplikàsi yg cocok buat liat cuaca,marah
Thank You Sangat Bermanfaat Lanjutkan,5,2022-07-11 15:54:31,thank you sangat bermanfaat lanjutkan,bahagia
Klu bkn karena info nie aku jadi gak tau tentang cuaca,5,2022-07-11 15:45:24,klu bkn karena info nie aku jadi gak tau tentang cuaca,bahagia
Sangat membantu sekali update cuaca,5,2022-07-11 15:44:01,sangat membantu sekali update cuaca,bahagia
Good information,5,2022-07-11 15:36:50,good information,bahagia
wori jaga ui,4,2022-07-11 15:30:04,wori jaga ui,takut
Bagus info cuaca dll,4,2022-07-11 15:23:10,bagus info cuaca dll,bahagia
"Sangat membatu , semoga tetap semangat para kru / team BMKG dalam memberikan informasi cuaca terkini.",5,2022-07-11 15:15:37,sangat membatu semoga tetap semangat para kru team bmkg dalam memberikan informasi cuaca terkini,bahagia
Sangat membantu,5,2022-07-11 15:08:24,sangat membantu,bahagia
Sangat membantu aktifitas 👍👍👍👍,5,2022-07-11 15:07:25,sangat membantu aktifitas,bahagia
Mantap,5,2022-07-11 15:04:25,mantap,bahagia
Baik sangat berguna,5,2022-07-11 15:04:06,baik sangat berguna,bahagia
Informasi kejadian bencana gempa secara realtime,5,2022-07-11 14:57:50,informasi kejadian bencana gempa secara realtime,marah
"Bermanfaat ,",5,2022-07-11 14:57:20,bermanfaat,bahagia
Informasi cepat dan akurat,5,2022-07-11 14:56:43,informasi cepat dan akurat,bahagia
Update skl n mudah dipahami,5,2022-07-11 14:56:05,update skl n mudah dipahami,bahagia
Ok,5,2022-07-11 14:55:47,ok,bahagia
BMKG emang kerennnnn,5,2022-07-11 14:53:44,bmkg emang kerennnnn,bahagia
Mantap,5,2022-07-11 14:53:33,mantap,bahagia
Apk sangat bagus dan membantu sekali.,5,2022-07-11 14:53:17,apk sangat bagus dan membantu sekali,bahagia
Siap 😊😊,5,2022-07-11 14:52:44,siap,marah
Ok,5,2022-07-11 14:51:25,ok,bahagia
Sangat membatu,5,2022-07-11 14:49:31,sangat membatu,bahagia
Mantap...,5,2022-07-11 14:48:41,mantap,bahagia
Excellent,5,2022-07-11 14:47:39,excellent,bahagia
Oke,5,2022-07-11 14:46:52,oke,bahagia
Oke,5,2022-07-11 14:46:14,oke,bahagia
Bguss,5,2022-07-11 14:45:14,bguss,bahagia
Sangat bagus,5,2022-07-11 14:44:53,sangat bagus,bahagia
"Makasih udh bantu update berita gempa terdekat, tp kadang masih gada notif dan ngatur daerahnya ribet. Tp gapapa, ditingkatin aja lg",4,2022-07-11 14:41:48,makasih udh bantu update berita gempa terdekat tp kadang masih gada notif dan ngatur daerahnya ribet tp gapapa ditingkatin aja lg,bahagia
Lebih akurat lebih baik,5,2022-07-11 14:41:34,lebih akurat lebih baik,bahagia
Info atas cuaca lokasi berada dan informasi adanya gempa dan informasi lain-lainnya.,5,2022-07-11 14:39:26,info atas cuaca lokasi berada dan informasi adanya gempa dan informasi lain lainnya,marah
"Bintang 3 dulu, soale belum terlalu bisa ngambil manfaatnya",3,2022-07-11 14:38:48,bintang 3 dulu soale belum terlalu bisa ngambil manfaatnya,marah
Mantap,5,2022-07-11 14:38:05,mantap,bahagia
Cepat infonya,5,2022-07-11 14:36:23,cepat infonya,marah
Informatif,5,2022-07-11 14:35:51,informatif,marah
sangai baik,5,2022-07-11 14:34:45,sangai baik,bahagia
Ok,5,2022-07-11 14:34:23,ok,bahagia
sangat membantu cuaca saat berpergian,5,2022-07-11 14:33:37,sangat membantu cuaca saat berpergian,bahagia
Good,5,2022-07-11 14:32:57,good,bahagia
"Aplikasi bagus,sangat membantu",5,2022-07-11 14:32:32,aplikasi bagus sangat membantu,bahagia
Sangat membantu masee,5,2022-07-11 14:32:23,sangat membantu masee,bahagia
Good,5,2022-07-11 14:30:44,good,bahagia
Mhn untuk pasang surut air laut. Perdaerah ditingkatkan,4,2022-07-11 14:30:15,mhn untuk pasang surut air laut perdaerah ditingkatkan,marah
Dapat mengetahui info gempa.. tidak perlu brosing lagi,4,2022-07-11 14:28:03,dapat mengetahui info gempa tidak perlu brosing lagi,bahagia
Good,5,2022-07-11 14:27:46,good,bahagia
"Aplikasi nya membantu banget deh,Soalnya Pas mau jalan² bisa liat cuaca dulu,Makasih Udah bikin aplikasi Nya. ☺️",5,2022-07-11 14:27:45,aplikasi nya membantu banget deh soalnya pas mau jalan² bisa liat cuaca dulu makasih udah bikin aplikasi nya,bahagia
Ok,5,2022-07-11 14:27:05,ok,bahagia
